MRCA,Non-duplication Per,Duplication Per,Non-duplication,Duplication,Total,group
N5,91.4893617,8.510638298,215,20,235,Null_summary
N6,84.65608466,15.34391534,160,29,189,Null_summary
N7,85.86956522,14.13043478,158,26,184,Null_summary
N8,83.68421053,16.31578947,159,31,190,Null_summary
N2,89.7689769,10.2310231,272,31,303,Null_summary
N3,98.90909091,1.090909091,272,3,275,Null_summary
N4,92.0754717,7.924528302,244,21,265,Null_summary
N5,91.03139013,8.968609865,203,20,223,Null_summary
N6,83.2460733,16.7539267,159,32,191,Null_summary
N7,86.33879781,13.66120219,158,25,183,Null_summary
N8,80.85106383,19.14893617,152,36,188,Null_summary
N2,90.59233449,9.407665505,260,27,287,Null_summary
N3,98.51301115,1.486988848,265,4,269,Null_summary
N4,91.73228346,8.267716535,233,21,254,Null_summary
N5,94.11764706,5.882352941,208,13,221,Null_summary
N6,79.45945946,20.54054054,147,38,185,Null_summary
N7,86.51685393,13.48314607,154,24,178,Null_summary
N8,81.7679558,18.2320442,148,33,181,Null_summary
N2,89.67741935,10.32258065,278,32,310,Null_summary
N3,99.31740614,0.682593857,291,2,293,Null_summary
N4,93.30985915,6.690140845,265,19,284,Null_summary
N5,92.37288136,7.627118644,218,18,236,Null_summary
N6,80.85106383,19.14893617,152,36,188,Null_summary
N7,85.32608696,14.67391304,157,27,184,Null_summary
N8,80.42328042,19.57671958,152,37,189,Null_summary
N2,90.0990099,9.900990099,273,30,303,Null_summary
N3,98.90909091,1.090909091,272,3,275,Null_summary
N4,95.23809524,4.761904762,240,12,252,Null_summary
N5,92.23744292,7.762557078,202,17,219,Null_summary
N6,84.57446809,15.42553191,159,29,188,Null_summary
N7,88.76404494,11.23595506,158,20,178,Null_summary
N8,81.05263158,18.94736842,154,36,190,Null_summary
N2,91.61290323,8.387096774,284,26,310,Null_summary
N3,98.58156028,1.418439716,278,4,282,Null_summary
N4,92.96296296,7.037037037,251,19,270,Null_summary
N5,93.99141631,6.008583691,219,14,233,Null_summary
N6,81.63265306,18.36734694,160,36,196,Null_summary
N7,86.93181818,13.06818182,153,23,176,Null_summary
N8,80.10752688,19.89247312,149,37,186,Null_summary
N2,91.25,8.75,292,28,320,Null_summary
N3,98.93238434,1.067615658,278,3,281,Null_summary
N4,93.30855019,6.691449814,251,18,269,Null_summary
N5,90.66666667,9.333333333,204,21,225,Null_summary
N6,84.18367347,15.81632653,165,31,196,Null_summary
N7,85.24590164,14.75409836,156,27,183,Null_summary
N8,78.45303867,21.54696133,142,39,181,Null_summary
N2,90.03322259,9.966777409,271,30,301,Null_summary
N3,100,0,279,0,279,Null_summary
N4,89.77272727,10.22727273,237,27,264,Null_summary
N5,92.92035398,7.079646018,210,16,226,Null_summary
N6,83.69565217,16.30434783,154,30,184,Null_summary
N7,81.71428571,18.28571429,143,32,175,Null_summary
N8,85.39325843,14.60674157,152,26,178,Null_summary
N2,87.03071672,12.96928328,255,38,293,Null_summary
N3,98.52398524,1.47601476,267,4,271,Null_summary
N4,93.41085271,6.589147287,241,17,258,Null_summary
N5,92.34449761,7.655502392,193,16,209,Null_summary
N6,84.69387755,15.30612245,166,30,196,Null_summary
N7,88.23529412,11.76470588,150,20,170,Null_summary
N8,81.25,18.75,143,33,176,Null_summary
N2,91.93548387,8.064516129,285,25,310,Null_summary
N3,98.86363636,1.136363636,261,3,264,Null_summary
N4,92.49011858,7.509881423,234,19,253,Null_summary
N5,91.07142857,8.928571429,204,20,224,Null_summary
N6,82.98969072,17.01030928,161,33,194,Null_summary
N7,88.70056497,11.29943503,157,20,177,Null_summary
N8,80.33707865,19.66292135,143,35,178,Null_summary
N2,87.30650155,12.69349845,282,41,323,Null_summary
N3,98.95470383,1.045296167,284,3,287,Null_summary
N4,92.47311828,7.52688172,258,21,279,Null_summary
N5,91.15044248,8.849557522,206,20,226,Null_summary
N6,82.32044199,17.67955801,149,32,181,Null_summary
N7,83.62573099,16.37426901,143,28,171,Null_summary
N8,80.57142857,19.42857143,141,34,175,Null_summary
N2,90.03322259,9.966777409,271,30,301,Null_summary
N3,98.56115108,1.438848921,274,4,278,Null_summary
N4,94.25287356,5.747126437,246,15,261,Null_summary
N5,91.30434783,8.695652174,210,20,230,Null_summary
N6,82.82828283,17.17171717,164,34,198,Null_summary
N7,89.44444444,10.55555556,161,19,180,Null_summary
